iter	Passed	Remaining
421	2268	3107
422	2273	3100
423	2278	3095
424	2287	3095
425	2293	3090
426	2298	3083
427	2308	3084
428	2314	3080
429	2322	3078
430	2329	3074
431	2334	3069
432	2340	3064
433	2345	3058
434	2351	3053
435	2356	3048
436	2362	3043
437	2369	3039
438	2374	3034
439	2379	3028
440	2386	3024
441	2393	3021
442	2398	3015
443	2403	3010
444	2410	3006
445	2416	3001
446	2421	2995
447	2429	2993
448	2434	2987
449	2439	2982
450	2446	2977
451	2452	2973
452	2458	2968
453	2464	2963
454	2469	2958
455	2475	2953
456	2480	2947
457	2487	2944
458	2493	2939
459	2500	2935
460	2506	2930
461	2513	2926
462	2520	2922
463	2525	2916
464	2530	2911
465	2535	2905
466	2542	2902
467	2548	2897
468	2553	2891
469	2559	2885
470	2565	2881
471	2571	2876
472	2577	2871
473	2582	2865
474	2587	2860
475	2593	2855
476	2599	2849
477	2605	2845
478	2610	2839
479	2615	2832
480	2620	2827
481	2625	2822
482	2632	2817
483	2639	2814
484	2644	2808
485	2649	2802
486	2658	2800
487	2662	2793
488	2670	2791
489	2675	2784
490	2681	2779
491	2687	2774
492	2694	2770
493	2700	2766
494	2705	2760
495	2711	2754
496	2717	2750
497	2723	2745
498	2729	2740
499	2735	2735
500	2742	2731
501	2748	2726
502	2754	2721
503	2760	2716
504	2766	2711
505	2772	2706
506	2780	2703
507	2785	2697
508	2789	2691
509	2796	2686
510	2801	2681
511	2807	2675
512	2813	2671
513	2820	2667
514	2825	2660
515	2829	2654
516	2835	2648
517	2839	2642
518	2844	2636
519	2850	2631
520	2857	2627
521	2862	2621
522	2869	2617
523	2876	2612
524	2881	2606
525	2886	2600
526	2891	2595
527	2896	2588
528	2901	2583
529	2906	2577
530	2910	2570
531	2915	2564
532	2919	2558
533	2924	2552
534	2929	2546
535	2933	2539
536	2938	2533
537	2942	2526
538	2946	2520
539	2951	2514
540	2956	2508
541	2960	2502
542	2965	2495
543	2970	2489
544	2974	2483
545	2978	2476
546	2983	2470
547	2987	2464
548	2991	2457
549	2996	2451
550	3000	2445
551	3004	2438
552	3010	2433
553	3014	2426
554	3018	2420
