iter	Logloss
0	0.6789692317
1	0.6662216486
2	0.6541613208
3	0.6452924066
4	0.6349992093
5	0.6240433545
6	0.61392379
7	0.6041753845
8	0.5954447281
9	0.5871752764
10	0.5786514492
11	0.5712664019
12	0.5641330412
13	0.5570370532
14	0.550141378
15	0.5442004835
16	0.5379324694
17	0.5325041599
18	0.5270092224
19	0.5216308949
20	0.5170570677
21	0.5120559183
22	0.5075405753
23	0.5029573964
24	0.4994394093
25	0.4953887633
26	0.4917423089
27	0.4888108946
28	0.4854953847
29	0.4826356797
30	0.4794652714
31	0.4766388812
32	0.4738011167
33	0.4713962939
34	0.4687364971
35	0.4662805442
36	0.4641021322
37	0.4617756246
38	0.4599814235
39	0.4578555802
40	0.4558828001
41	0.4538358281
42	0.452161662
43	0.4503165697
44	0.448574791
45	0.4469629431
46	0.4455111715
47	0.4436846818
48	0.4421325602
49	0.4407061754
50	0.4391950294
51	0.438179963
52	0.4369579003
53	0.4356841311
54	0.4344227066
55	0.4333819699
56	0.4322635707
57	0.4314115193
58	0.4305083126
59	0.4295444229
60	0.4286220504
61	0.4277492749
62	0.4268538723
63	0.4260824016
64	0.4252121356
65	0.4245416486
66	0.4238728271
67	0.4234690101
68	0.4226191904
69	0.4218596233
70	0.4210610385
71	0.4203492833
72	0.4197843581
73	0.4192514566
74	0.4185754468
75	0.4180218881
76	0.4174945599
77	0.4170120791
78	0.4166141857
79	0.4160829712
80	0.4155655055
81	0.4150690676
82	0.4145444193
83	0.4142135955
84	0.4136966328
85	0.4132353687
86	0.4128189508
87	0.4125166262
88	0.4121965981
89	0.4117912077
90	0.4113545848
91	0.4112710274
92	0.4108493122
93	0.4104120846
94	0.410041225
95	0.4097307228
96	0.409424872
97	0.4093117408
98	0.4090116839
99	0.4087620359
100	0.4084667544
101	0.4081404314
102	0.4078007979
103	0.4075499076
104	0.4072233144
105	0.4069789498
106	0.4067114467
107	0.4065046593
108	0.4063834652
109	0.4061089995
110	0.4058506836
111	0.4056245417
